Country,Continent,Score
Denmark,Europe,90
Finland,Europe,88
Singapore,Asia,84
New Zealand,Oceania,83
Luxembourg,Europe,81
Norway,Europe,81
Switzerland,Europe,81
Sweden,Europe,80
Netherlands,Europe,78
Australia,Oceania,77
Iceland,Europe,77
Ireland,Europe,77
Estonia,Europe,76
Uruguay,South America,76
Canada,North America,75
Germany,Europe,75
Hong Kong,Asia,74
Bhutan,Asia,72
Seychelles,Africa,72
Japan,Asia,71
United Kingdom,Europe,71
Belgium,Europe,69
Barbados,North America,68
United Arab Emirates,Asia,68
Austria,Europe,67
France,Europe,67
Taiwan,Asia,67
Bahamas,North America,65
United States,North America,65
Israel,Asia,64
South Korea,Asia,64
Chile,South America,63
Lithuania,Europe,63
Egypt,Africa,63
Cape Verde,Africa,62
Dominica,North America,60
Slovenia,Europe,60
Latvia,Europe,59
Qatar,Asia,59
Saint Lucia,North America,59
Saudi Arabia,Asia,59
Costa Rica,North America,58
Botswana,Africa,57
Portugal,Europe,57
Rwanda,Africa,57
Cyprus,Europe,56
Czech Republic,Europe,56
Grenada,North America,56
Spain,Europe,56
Fiji,Oceania,55
Oman,Asia,55
Italy,Europe,54
Bahrain,Asia,53
Georgia,Europe,53
Poland,Europe,53
Mauritius,Africa,51
Malaysia,Asia,50
Vanuatu,Oceania,50
Greece,Europe,49
Jordan,Asia,49
Namibia,Africa,49
Slovakia,Europe,49
Armenia,Europe,47
Croatia,Europe,47
Kuwait,Asia,46
Malta,Europe,46
Montenegro,Europe,46
Romania,Europe,46
Benin,Africa,45
Ivory Coast,Africa,45
São Tomé and Príncipe,Africa,45
Senegal,Africa,45
Jamaica,North America,44
Kosovo,Europe,44
Timor-Leste,Asia,44
Bulgaria,Europe,43
China,Asia,43
Moldova,Europe,43
Solomon Islands,Oceania,43
Albania,Europe,42
Ghana,Africa,42
Burkina Faso,Africa,41
Cuba,North America,41
Hungary,Europe,41
South Africa,Africa,41
Tanzania,Africa,41
Trinidad and Tobago,North America,41
Kazakhstan,Asia,40
North Macedonia,Europe,40
Suriname,South America,40
Vietnam,Asia,40
Colombia,South America,39
Guyana,South America,39
Tunisia,Africa,39
Saint Vincent and the Grenadines,North America,39
Gambia,Africa,38
India,Asia,38
Maldives,Asia,38
Argentina,South America,37
Ethiopia,Africa,37
Indonesia,Asia,37
Lesotho,Africa,37
Morocco,Africa,37
Dominican Republic,North America,36
Serbia,Europe,35
Ukraine,Europe,35
Algeria,Africa,34
Brazil,South America,34
Malawi,Africa,34
Nepal,Asia,34
Niger,Africa,34
Thailand,Asia,34
Turkey,Europe,34
Belarus,Europe,33
Bosnia and Herzegovina,Europe,33
Laos,Asia,33
Mongolia,Asia,33
Panama,North America,33
Philippines,Asia,33
Sierra Leone,Africa,33
Angola,Africa,32
Ecuador,South America,32
Kenya,Africa,32
Sri Lanka,Asia,32
Togo,Africa,32
Uzbekistan,Asia,32
Djibouti,Africa,31
Papua New Guinea,Oceania,31
Peru,South America,31
North Korea,Asia,30
El Salvador,North America,30
Mauritania,Africa,30
Bolivia,South America,28
Guinea,Africa,28
Cape Verde,Africa,27
Gabon,Africa,27
Liberia,Africa,27
Mali,Africa,27
Pakistan,Asia,27
Cameroon,Africa,26
Iraq,Asia,26
Madagascar,Africa,26
Mexico,North America,26
Nigeria,Africa,26
Uganda,Africa,26
Guatemala,North America,25
Kyrgyzstan,Asia,25
Mozambique,Africa,25
Vatican City,Europe,24
Paraguay,South America,24
Bangladesh,Asia,23
Congo,Africa,23
Iran,Asia,23
Azerbaijan,Asia,22
Honduras,North America,22
Lebanon,Asia,22
Russia,Europe,22
Cambodia,Asia,21
Chad,Africa,21
Comoros,Africa,21
Guinea-Bissau,Africa,21
Zimbabwe,Africa,21
Venezuela,South America,20
Tajikistan,Asia,19
Brunei Darussalam,Asia,17
Burundi,Africa,17
Turkmenistan,Asia,17
Haiti,North America,16
Myanmar,Asia,16
Zambia,Africa,15
Sudan,Africa,15
Nicaragua,North America,14
Equatorial Guinea,Africa,13
Eritrea,Africa,13
Libya,Africa,13
Yemen,Asia,13
Syria,Asia,12
Democratic Republic of the Congo,Africa,10
Somalia,Africa,9
Central African Republic,Africa,8