Jugador,Equipo,Gls,Dis,DaP,xG
Daniel Parejo,Villarreal,3,8,2,2.3
Gerard Moreno,Villarreal,3,23,9,4.2
Santi Comesaña,Villarreal,3,22,5,2.8
Nico Williams,Athletic Club,4,48,16,3.5
Pedri,Barcelona,4,20,10,2
Vitor Roque,Betis,4,41,18,6.1
Brahim Díaz,Real Madrid,4,17,9,4
Iñaki Williams,Athletic Club,5,56,20,6.2
Álex Berenguer,Athletic Club,5,42,16,5.9
Gorka Guruzeta,Athletic Club,6,44,15,4.5
Lamine Yamal,Barcelona,6,86,27,6.4
Dani Olmo,Barcelona,6,30,11,3.3
Isco,Betis,6,22,4,6.2
Rodrygo,Real Madrid,6,46,17,3.7
Alex Baena,Villarreal,6,53,14,5.7
Ferrán Torres,Barcelona,7,30,16,4.4
Giovani Lo Celso,Betis,7,24,11,4.1
Jude Bellingham,Real Madrid,7,39,14,7.8
Antoine Griezmann,Atlético Madrid,8,34,13,6.1
Thierno Barry,Villarreal,8,51,16,9.4
Vinicius Júnior,Real Madrid,10,64,18,8.3
Julián Álvarez,Atlético Madrid,11,51,24,8.8
Alexander Sørloth,Atlético Madrid,11,44,20,9.2
Ayoze Pérez,Villarreal,11,54,19,8.3
Oihan Sancet,Athletic Club,13,40,15,8.3
Raphinha,Barcelona,13,83,32,14.4
Kylian Mbappé,Real Madrid,20,107,56,18
Robert Lewandowski,Barcelona,22,88,37,22.4